account_id,company_name,industry,employee_count,plan_tier,account_owner,region,signup_date,status
ACC-0001,Johnson LLC,manufacturing,42,growth,Marcus Johnson,north_america,2024-05-11,active
ACC-0002,Taylor Inc,healthcare,99,starter,Rachel Thompson,europe,2023-07-10,churned
ACC-0003,"Mcclain, Miller and Henderson",professional_services,32,starter,Sarah Chen,europe,2024-06-09,active
ACC-0004,Robinson PLC,manufacturing,389,growth,David Kim,europe,2023-01-24,active
ACC-0005,Hoffman Ltd,finance,253,enterprise,James O'Brien,europe,2024-04-12,active
ACC-0006,"Gardner, Robinson and Lawrence",education,32,starter,Sarah Chen,north_america,2024-05-19,churned
ACC-0007,Blake and Sons,technology,49,starter,James O'Brien,europe,2024-09-20,active
ACC-0008,Peterson-Moore,retail,53,starter,James O'Brien,europe,2024-06-26,active
ACC-0009,Garcia-James,healthcare,4929,enterprise,Sarah Chen,europe,2024-08-16,active
ACC-0010,Munoz-Roman,healthcare,70,growth,David Kim,north_america,2023-10-06,churned
ACC-0011,Herrera-Dudley,education,216,growth,Marcus Johnson,europe,2024-07-20,active
ACC-0012,Arnold Ltd,professional_services,379,growth,James O'Brien,north_america,2023-10-22,active
ACC-0013,Ray-Bush,retail,113,growth,James O'Brien,europe,2024-04-25,active
ACC-0014,"Perez, Roberts and Miller",technology,46,starter,Marcus Johnson,apac,2023-02-05,churned
ACC-0015,James Group,manufacturing,3486,enterprise,Rachel Thompson,apac,2023-06-30,active
ACC-0016,Martin-Kelly,logistics,88,starter,Marcus Johnson,north_america,2024-05-08,active
ACC-0017,Miles-Sutton,professional_services,76,starter,David Kim,apac,2024-06-04,active
ACC-0018,"Reid, Ferguson and Sanchez",finance,33,starter,Rachel Thompson,europe,2023-02-25,churned
ACC-0019,Nelson-Schaefer,finance,470,growth,James O'Brien,europe,2023-12-26,active
ACC-0020,"Robinson, Nguyen and Tate",logistics,53,starter,Rachel Thompson,north_america,2024-06-18,active
ACC-0021,Underwood LLC,healthcare,35,growth,James O'Brien,apac,2023-02-13,active
ACC-0022,Jones-Gentry,healthcare,423,growth,Emily Rodriguez,europe,2023-11-08,active
ACC-0023,"Edwards, Rios and Foster",retail,399,growth,Rachel Thompson,apac,2024-03-16,churned
ACC-0024,Thomas-Taylor,retail,84,growth,James O'Brien,europe,2024-05-14,churned
ACC-0025,"Ryan, Burgess and Patterson",real_estate,52,starter,Rachel Thompson,latam,2024-08-01,churned
ACC-0026,Cox-Osborn,education,280,growth,Emily Rodriguez,north_america,2024-03-29,active
ACC-0027,"Snyder, Campos and Callahan",healthcare,77,starter,James O'Brien,europe,2023-04-18,churned
ACC-0028,"Moore, Becker and Carlson",finance,73,starter,James O'Brien,europe,2023-04-29,churned
ACC-0029,Carlson-Mcdonald,professional_services,165,growth,David Kim,latam,2023-10-26,active
ACC-0030,"Valencia, Smith and Le",media,1847,enterprise,James O'Brien,europe,2023-07-15,active
ACC-0031,"Potter, Mack and Peterson",manufacturing,71,starter,Marcus Johnson,north_america,2024-06-13,active
ACC-0032,Moore-Smith,manufacturing,75,starter,Sarah Chen,north_america,2023-08-16,active
